net,length_um
_031665_,1031.99
_018408_,1030.18
_032702_,1029.61
_038583_,1029.18
_037808_,1029.175
_032885_,1028.695
_039987_,1028.29
_040760_,1026.735
_032322_,1026.385
_041242_,1025.555
_035165_,1024.08
net338,1024.05
net438,1020.945
_032162_,1020.855
_041069_,1019.995
_037928_,1018.655
_041000_,1017.85
_019663_,1015.81
_031889_,1015.74
_041241_,1014.595
_031791_,1014.47
_031910_,1013.98
_032275_,1011.62
_019193_,1010.76
net339,1010.31
_034936_,1010.035
_035218_,1005.925
_033250_,1003.785
_040999_,1002.78
_031803_,1000.51
net36,998.875
_031882_,997.86
_031909_,996.905
_032145_,996.14
_031761_,994.32
_031674_,994.145
_018721_,991.91
_032130_,990.735
_038627_,986.575
_018941_,985.645
_035154_,982.66
_037811_,981.57
_031683_,981.435
_040413_,980.77
_031666_,980.645
_037935_,980.34
_035203_,979.115
_040446_,978.35
_039950_,977.745
_031916_,977.125
_031689_,977.085
_035265_,973.595
_042512_,971.35
net225,969.905
_034883_,968.95
net92,968.535
_040776_,967.675
_035138_,966.605
_038587_,965.94
_034002_,964.965
_037932_,964.01
_040996_,963.73
net347,963.47
_031888_,962.95
_032617_,961.19
_031784_,954.73
_031679_,954.72
net97,952.685
_031691_,950.98
_021271_,949.62
net158,949.055
_039458_,949.05
_040758_,948.635
_031892_,948.175
_031913_,947.535
_033233_,946.7
_035192_,945.18
_031856_,944.92
_041033_,943.575
_040783_,942.84
_041215_,942.405
_020811_,939.09
_020075_,937.555
net220,936.615
_037989_,935.78
_037858_,935.445
_031859_,934.495
_031736_,934.305
net274,933.93
_019257_,933.815
_035062_,933.695
_034887_,930.845
net89,928.995
_035140_,927.115
net167,927.11
_037794_,926.95
net179,926.325
_038187_,925.265
net244,924.065
_035415_,923.83
_037834_,923.535
_022672_,922.605
_031644_,921.36
_040759_,921.085
_032256_,920.68
_031874_,920.25
_054445_,919.555
_035018_,917.725
_055241_,916.415
_040563_,915.86
_039429_,915.005
_031694_,913.28
net108,912.29
_037852_,911.735
_034943_,911.285
_037861_,911.205
_037947_,909.905
_031756_,909.67
_040949_,909.15
_040773_,908.75
_053130_,908.065
_042701_,906.78
_042509_,906.36
_038586_,905.655
_037796_,904.965
_041845_,904.685
_035141_,904.005
_037907_,903.18
_031886_,901.57
_019376_,900.315
_037925_,900.255
net383,899.89
_040417_,899.3
_032622_,899.015
_035178_,897.845
_040863_,897.25
_032440_,897.135
_018422_,897.115
_018778_,895.155
_053129_,894.74
_022961_,894.5
_031693_,894.16
net346,893.155
_034952_,891.555
d2d_sideband.fdi_sideband_node.tx_ser._data_T\[30\],890.38
net354,889.81
_018780_,889.34
_019498_,889.28
_019410_,889.12
_018387_,888.7
_035063_,888.475
_035164_,888.305
_044749_,887.7
_023533_,886.95
_018444_,886.245
net292,886.055
_032848_,883.93
_021765_,883.585
_038674_,883.07
_041232_,882.55
_018546_,880.245
_034888_,879.705
net276,879.455
_038607_,879.05
_038619_,878.46
_028124_,877.795
net361,877.685
_038657_,877.3
_033016_,876.17
_035006_,875.82
net253,875.39
_040673_,875.12
_019236_,875.045
_019406_,873.93
_035066_,873.285
_042510_,873.24
_018394_,870.95
_031677_,870.895
_038645_,868.8
_035358_,868.79
_018395_,868.61
_039706_,866.885
_039431_,866.835
net67,866.57
net154,866.385
net208,865.14
_034938_,864.21
_022815_,864.125
_037916_,863.86
_020805_,862.735
_035146_,860.04
_041216_,860.035
_053271_,859.255
_031653_,858.425
_032169_,857.785
_039761_,857.735
_019178_,857.485
_035204_,856.615
_038623_,856.07
_026491_,854.57
_019075_,854.285
_044755_,853.925
_040906_,853.435
_045784_,852.86
_034987_,852.705
_022528_,851.505
_020853_,851.345
_018821_,850.69
_040769_,848.67
_031738_,848.665
net2805,847.765
_019378_,847.695
_031884_,847.525
_038585_,846.52
_033017_,846.06
_023392_,846
_032300_,845.045
_035359_,843.305
_031861_,842.79
_035157_,842.72
_039651_,841.9
_019500_,841.82
_035027_,841.105
_023248_,841.045
_054268_,840.95
_038614_,839.58
_035004_,839.555
_037851_,839.17
_022356_,838.88
_020948_,838.74
net90,836.39
_031703_,836.24
_035209_,836.24
_039927_,835.94
_019675_,835.445
_032171_,835.39
_032864_,835.195
_019386_,834.69
_035356_,833.96
net109,831.17
_040805_,830.765
_042860_,830.035
_020663_,829.025
_031773_,828.665
_019103_,828.575
_045750_,828.48
_035211_,827.49
_036793_,826.435
_032616_,825.49
_035179_,825.195
_031897_,824.245
_020868_,822.58
_042861_,822.38
_024559_,822.115
_039872_,821.87
_019074_,821.77
_037823_,821.205
_054552_,820.935
_041734_,820.67
_018441_,820.51
_035024_,820.28
_035042_,819.33
_032276_,818.305
_020801_,817.92
_037023_,817.85
_032640_,817.09
_037867_,816.72
net191,814.8
_034988_,814.515
_053413_,814.42
_032656_,813.995
_032614_,813.67
_031742_,812.86
_034932_,811.62
_031648_,811.475
_018448_,811.425
_040899_,811.405
_035026_,810.86
_020802_,810.47
_031710_,809.115
_034881_,809.085
_019643_,808.84
_031855_,808.685
_019098_,808.39
_022620_,808.095
_019151_,807.78
_053982_,807.635
net335,807.29
_040941_,807.085
_034958_,806.85
_032872_,806.445
net79,806.255
_053414_,806.135
_041233_,805.21
_031731_,804.37
_031785_,803.98
_029169_,803.265
_034975_,802.565
_024418_,802.105
_031769_,801.19
_023391_,800.845
_028074_,800.815
_035077_,800.595
_034976_,800.53
_037898_,799.505
_054411_,799.455
_023106_,799.185
_032077_,798.53
_037875_,796.775
_019039_,796.54
_023050_,796.135
_035552_,796.12
_028161_,796.045
_035040_,795.835
_020439_,795.66
_020955_,795.21
_037782_,795.16
_032823_,794.42
_019009_,794.305
_054125_,794.235
_034953_,793.61
_022816_,793.48
_031806_,792.19
_038635_,792.075
_041218_,791.18
_034901_,790.115
_034941_,790.095
_035197_,789.79
net161,789.195
_024126_,789.07
_034886_,787.865
_035147_,787.765
_053270_,787.03
_037887_,786.975
_019933_,786.635
_032706_,786.38
_037886_,786.165
_032781_,785.935
_039594_,784.895
_018326_,783.965
_031711_,782.63
_019497_,782.32
_023480_,781.32
_039536_,781.175
_037791_,781.08
_020832_,780.92
_028247_,780.885
_049324_,780.475
_053218_,780.3
_021207_,779.27
_037893_,778.635
_022529_,778.31
_019129_,778.1
_019223_,777.945
_033903_,776.88
_019144_,776.68
_038653_,776.37
_031847_,776.17
_039597_,775.96
_040772_,775.9
_039300_,775.74
net1624,775.405
_023447_,774.99
_018406_,774.57
_041929_,774.335
_042430_,774.28
_031230_,774.275
_022962_,773.93
_053696_,773.565
_035112_,773.425
_037797_,773.025
_035043_,772.87
_053587_,771.81
_053697_,771.52
_037820_,771.365
_037810_,771.03
_032248_,770.675
_047439_,770.435
_020755_,770.305
_031730_,769.85
_019073_,769.735
